City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Nieuw Amsterdam,SR,5.8833,-55.0833,82.4,89,40,4.61,scattered clouds
280,Flin Flon,CA,54.7682,-101.865,50.0,34,90,11.5,overcast clouds
281,Bela,IN,25.9333,81.9833,81.01,15,71,7.23,broken clouds
282,Urucara,BR,-2.5364,-57.76,83.66,71,100,0.96,overcast clouds
283,Sikandarpur,IN,26.05,84.05,80.37,14,0,3.71,clear sky
284,Bethel,US,41.3712,-73.414,71.6,35,75,13.8,broken clouds
285,Ashcroft,CA,50.7165,-121.2859,48.2,37,40,12.66,scattered clouds
286,Bilibino,RU,68.0546,166.4372,-6.39,92,36,2.89,scattered clouds
287,Malkangiri,IN,18.35,81.9,82.83,45,89,1.5,overcast clouds
288,Baicheng,CN,45.6167,122.8167,35.74,32,19,7.76,few clouds
289,Humboldt,US,40.6665,-123.9178,57.99,66,1,16.11,clear sky
290,Lompoc,US,34.6391,-120.4579,62.6,55,48,17.27,scattered clouds
291,San Felipe,VE,10.3399,-68.7425,77.58,87,100,4.83,overcast clouds
292,Dutlwe,BW,-23.9833,23.9,71.78,40,70,6.93,broken clouds
293,Sault Sainte Marie,CA,46.5168,-84.3333,66.2,45,1,16.11,clear sky
294,Joacaba,BR,-27.1781,-51.5047,72.01,64,100,5.08,overcast clouds
295,Lampa,CL,-33.2833,-70.9,77.0,40,0,12.66,clear sky
296,Port-Gentil,GA,-0.7193,8.7815,78.8,83,75,12.66,light rain
297,Turayf,SA,31.6725,38.6637,69.8,32,0,13.8,clear sky
298,Eureka,US,40.8021,-124.1637,60.01,67,23,8.01,few clouds
299,Santa Fe,AR,-31.6333,-60.7,90.0,52,100,5.99,overcast clouds
300,Amambai,BR,-23.1042,-55.2258,83.26,46,9,12.48,clear sky
301,Komsomolskiy,UZ,40.4272,71.7189,53.6,50,0,4.61,clear sky
302,Marzuq,YE,14.4,46.4667,67.55,40,65,5.23,broken clouds
303,Cagliari,IT,39.245,9.0912,51.8,50,0,11.5,clear sky
304,Egvekinot,RU,66.3167,-179.1667,-8.61,94,74,1.79,broken clouds
305,Kahului,US,20.8947,-156.47,78.8,53,20,20.71,few clouds
306,Mlowo,TZ,-9.0,32.9833,56.86,97,64,4.05,broken clouds
307,Nacimiento,CL,-37.5,-72.6667,57.2,94,75,6.91,broken clouds
308,Ostrovnoy,RU,68.0531,39.5131,34.05,98,100,8.81,overcast clouds
309,Chicama,PE,-7.8447,-79.1469,69.8,83,20,13.8,few clouds
310,Muisne,EC,0.6,-80.0333,86.0,79,20,6.91,few clouds
311,Taltal,CL,-25.4,-70.4833,69.01,75,88,7.0,overcast clouds
312,Kaa-Khem,RU,51.6833,94.7333,36.88,71,94,3.89,overcast clouds
313,Itaueira,BR,-7.6033,-43.0256,88.79,33,96,5.93,overcast clouds
